RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.51876,13.66,3.51,1.17,72.77,0.63,8.34,0.0,0.19,1
1.52126,14.07,0.0,1.8,72.42,0.12,8.76,0.0,0.16,7
1.51956,12.99,3.53,1.15,72.79,0.6,8.42,0.0,0.22,1
1.52009,14.6,0.69,2.24,72.94,0.05,9.92,0.22,0.35,7
1.51802,12.87,3.26,1.37,73.33,0.65,8.31,0.0,0.0,2
1.51841,13.75,3.93,1.39,72.26,0.66,8.87,0.0,0.22,2
1.52017,12.89,3.52,1.37,72.55,0.59,8.52,0.0,0.16,1
1.51847,12.41,3.23,1.33,72.6,0.66,8.71,0.0,0.19,2
1.51671,12.62,4.28,1.58,73.39,0.66,7.74,0.0,0.2,2
1.51885,12.99,3.65,1.45,72.25,0.69,8.45,0.0,0.21,2
1.52069,13.81,0.0,2.36,72.96,0.0,8.87,0.0,0.0,6
1.51881,12.15,3.6,1.44,72.5,0.52,8.65,0.0,0.08,5
1.51925,13.61,3.8,1.15,72.45,0.71,8.68,0.0,0.19,2
1.51766,13.21,3.48,1.26,72.32,0.6,8.18,0.0,0.16,2
1.51663,13.96,0.0,1.72,73.07,0.0,9.39,0.0,0.0,6
1.5185,12.92,3.36,1.65,73.17,0.6,8.99,0.0,0.18,5
1.52295,14.33,0.0,2.27,72.02,0.17,9.43,0.68,0.33,7
1.51971,12.88,3.63,1.32,73.18,0.67,8.24,0.0,0.06,1
1.51907,12.8,3.54,1.28,73.09,0.62,8.08,0.0,0.25,1
1.51785,15.12,0.0,2.29,73.72,0.0,8.46,0.0,0.0,6
1.51707,13.59,3.83,1.77,72.98,0.57,9.02,0.0,0.24,2
1.52389,13.86,0.43,1.99,72.67,0.07,9.49,0.26,0.18,7
1.52035,14.67,0.63,2.38,72.75,0.16,9.5,0.0,0.0,7
1.52344,14.32,1.66,2.52,73.5,0.41,9.69,0.61,0.0,7
1.5178,13.48,3.56,1.28,72.82,0.57,8.28,0.0,0.17,3
1.5164,13.44,3.64,1.26,71.88,0.68,9.06,0.0,0.35,2
1.52004,12.67,3.64,1.27,72.63,0.6,8.32,0.0,0.15,1
1.51962,13.18,3.46,1.18,73.14,0.54,8.32,0.0,0.08,1
